"BN/Registration number","Fiscal period end","Form ID","500","505","510","515","520","525","530","535","540","545","550","555","560","565","580"
"119049450RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$661183.00
"119049526RR0001",2018-3-31 00:00:00,"23","Y",,,,"Y",,,,,,,"Y",,,$14626203.00
"119049575RR0001",2018-3-31 00:00:00,"23",,,,,"Y",,,,,,,"Y",,,$4930.00
"119049617RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$457768.00
"119049641RR0001",2018-4-30 00:00:00,"23",,,,,,,,,,,,,"Y","Displays",$77.00
"119049682RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Body Care Products, etc.",$3969.00
"119049849RR0001",2018-6-30 00:00:00,"23","Y",,"Y",,,,,,,,,"Y",,,$13381.00
"119049898RR0001",2018-6-30 00:00:00,"23","Y","Y","Y",,,,,,,"Y",,,"Y","Decor, Garden",$1121.00
"119049955RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","gift cards",$9912.00
"119049989RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Sunday School and Mosque supplies",$7941.00
"119050201RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Gaz",$780.00
"119050425RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$49997.00
"119050441RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$2541.00
"119050573RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","POSTER PREPARATION",
"119050672RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,"Y",,,"Y",,"Y","WHEELCHAIRS/WALKERS",$95504.00
"119050755RR0001",2018-3-31 00:00:00,"23","Y","Y","Y",,,,,,,"Y",,,"Y","fishing charter",$10477.00
"119050813RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Office Supplies",$11955.00
"119050912RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$51113.00
"119051001RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","Gardening supplies",$2902.00
"119051092RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$66.00
"119051316RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Office supplies, stamps, paper products, bottled water, water system maintenance supplies, children's program supplies, paper products, food supplies, maintenance supplies",$3592.00
"119051357RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$13025.00
"119051449RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,,"Y",,,,$2199348.00
"119051480RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Landscaping, etc.",$6788.00
"119051654RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$100.00
"119051910RR0001",2018-7-31 00:00:00,"23",,,,,"Y",,,,,,,,"Y","PHOTOGRAPHY, FILM PRODUCTION, MUSIC",$32240.00
"119051936RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,"Y",,,,,$22832.00
"119051993RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Curriculum Subscription",$209.00
"119052009RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","10 Tickets Gift Cards",$500.00
"119052090RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,
"119052116RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,"Y",,,,,$784.00
"119053130RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","toys, auction items",$44383.00
"119053288RR0001",2018-3-31 00:00:00,"23","Y","Y","Y",,,,,,,,,"Y",,,$5225.00
"119053296RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","COFFEE & GIFT BASKET",$461.00
"119053403RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,"Y",,,"Y","PADDLEBOAT",$4160.00
"119053411RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,"Y",,,"Y","Tickets to sporting events",$24694.00
"119053874RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,"Y",,"Y",,"Y",,,$4071.00
"119053908RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,
"119054310RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Musical instruments",$26145.00
"119055085RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","ADAPTIVE FISHING EQUIPMENT/",$8408.00
"119055234RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,
"119055432RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,,,,$2691.00
"119055747RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$650.00
"119056125RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","CHURCH SUPPLIES",$506.00
"119056307RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,,,$9982.00
"119056448RR0001",2018-5-31 00:00:00,"23",,,,,,,,,,,,,"Y","Reception food & drinks",$4431.00
"119056463RR0001",2018-7-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$134.00
"119056828RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Property Maintenance",$500.00
"119056992RR0001",2018-10-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","advertising/silent auction ite",$10286.00
"119057032RR0001",2018-3-31 00:00:00,"23",,,,"Y",,,,,,,,,,,$5803.00
"119057164RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,"Y",,,"Y",,,$15257.00
"119057180RR0001",2018-3-31 00:00:00,"23",,,,"Y",,,,,,,,,"Y","BAGS, TOOLS",$64199.00
"119057370RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y","Y","Y","ACCOMODATIONS, GIFT CA",$23292.00
"119057586RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,,"Y","Swimming Course",$65597.00
"119057826RR0001",2018-9-30 00:00:00,"23",,,"Y",,,,,,,,,"Y",,,$233.00
"119057958RR0001",2018-7-1 00:00:00,"23",,,,,,,,,,"Y",,,,,$400.00
"119058063RR0001",2018-3-31 00:00:00,"23",,,,,,,"Y",,,,,,,,$389.00
"119058154RR0001",2018-4-30 00:00:00,"23","Y",,,,,,,,,,,,"Y","rowing shell",$158250.00
"119058188RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","GIFT CARDS",$265.00
"119058576RR0001",2018-9-30 00:00:00,"23",,,,,,,,,,,,,"Y","Donations",
"119058659RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","Program Supplies",$2280.00
"119058709RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,,,$18796.00
"119059285RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,$1897.00
"119059756RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","TRAVEL",$1319.00
"119059772RR0001",2018-1-1 00:00:00,"23",,,"Y",,,,,,,,,,,,$729.00
"119059863RR0001",2018-6-30 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y",,$1568.00
"119060036RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,,,"Y","Taxi services",$5000.00
"119060085RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","small equipment/props, services",
"119060267RR0001",2018-3-31 00:00:00,"23","Y","Y","Y",,,,,,,,,,,,
"119060325RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","GIFT CERTIFICATES FOR PERSONAL GROOMING",$1099.00
"119060804RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$380.00
"119060960RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","SERVICES",$4550.00
"119061125RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Memorials",$155.00
"119061240RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,"Y",,"Y","CHRISTMAS HAMPERS",$157011.00
"119061299RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y","Y","Y","Supplies",$11248.00
"119061752RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Musical repairs",$354.00
"119061844RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Fresh Produce",$3600.00
"119061885RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,,"Y","Production royalties",$750.00
"119062271RR0001",2018-10-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y","canoe,camp director, honerarium",$2773.00
"119062438RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$21650.00
"119062495RR0001",2018-8-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1800.00
"119062545RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,"Y",,"Y","Y","tickets, gift baskets",$2228.00
"119062610RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$9337.00
"119063378RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$22415.00
"119064236RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,
"119064293RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Tax Return Prep -",$3375.00
"119064350RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,"Y",,,,"Y",,"Y","Misc event prizes",$19121.00
"119064400RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Gift cards & advertising",$3536.00
"119065530RR0001",2018-6-30 00:00:00,"23",,,,,,,"Y",,,,,,,,$20697.00
"119065761RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","General supplies",
"119066181RR0001",2018-3-31 00:00:00,"23","Y","Y","Y",,,,,,,"Y",,,"Y","TRANSPORT, LODGING",$45172.00
"119066207RR0001",2018-9-30 00:00:00,"23","Y",,,,,,,,,,,,"Y","Supplies Used In Operations",$1073.00
"119066215RR0001",2018-8-31 00:00:00,"23","Y",,,,"Y",,,,,,,,,,$12843.00
"119066330RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","transportation costs",$730.00
"119066389RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,,,$750.00
"119066736RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","FOOD GIFT CARDS",$1215.00
"119066934RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Money",$93314.00
"119067049RR0001",2018-9-30 00:00:00,"23",,,"Y",,,,,,,,,,"Y","GOLF TOURNAMENT-GIFTS OF PRIZES AND COURSE DEPOSIT",$855.00
"119067445RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,"Y","Y","Meal & Travel, Aircraft related parts & materials",$176728.00
"119067783RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$150.00
"119068112RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$624.00
"119068377RR0001",2018-12-31 00:00:00,"23","Y","Y",,"Y",,,,,,,"Y",,"Y","prizes",$24888.00
"119068435RR0001",2018-6-30 00:00:00,"23",,,,,,,"Y",,,,,,"Y","Gift cards",$5754.00
"119068781RR0001",2018-8-31 00:00:00,"23","Y","Y",,,,,,,,,,,"Y","OFFICE SUPPLIES",$7404.00
"119068799RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$3202.00
"119068823RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,,,,,,$1700.00
"119068955RR0001",2018-12-31 00:00:00,"23",,,,,,,"Y",,,"Y","Y",,,,$428413.00
"119068989RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$4102.00
"119069516RR0001",2018-8-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Papeterie Photographie",$850.00
"119069680RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$1540.00
"119070415RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,,,,,,
"119070837RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,,"Y","Y","Gift in Kind",$2363.00
"119071140RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,"Y","Y","GARAGE SALE ITEMS",$3786.00
"119071256RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,"Y","Supplies for events",$944.00
"119071561RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$2395.00
"119071702RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,"Y","Y","GALA SUPPLIES",$9223.00
"119071884RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,,,,,,$19662.00
"119072072RR0001",2018-12-31 00:00:00,"23",,,"Y","Y",,,"Y",,,,,,"Y","Gift cards, electronics, vacations, applicances, food",$61398.00
"119073427RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y",,$19571.00
"119073500RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$740.00
"119073732RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,,,$35.00
"119074094RR0001",2018-12-31 00:00:00,"23",,,,,,,"Y",,,,,,,,$3636.00
"119074185RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Plants, septic system servicing",$933.00
"119074623RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y","CLIENT SERVICES",
"119074722RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$21932.00
"119074755RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$6275.00
"119074839RR0001",2018-8-31 00:00:00,"23",,,,,,,,"Y",,,,,,,
"119074953RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Storage Unit, Tools,",$771.00
"119075026RR0001",2018-10-31 00:00:00,"23","Y","Y","Y","Y",,,,"Y",,"Y",,"Y","Y","Vet services",$15517.00
"119075067RR0001",2018-9-30 00:00:00,"23",,,,,,,,,,,,,"Y","Audit Fee",$90.00
"119075091RR0001",2018-3-31 00:00:00,"23",,,,,,,"Y",,,,"Y",,,,$51613.00
"119075125RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","glowsticks",$47.00
"119075315RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Supplies",$569.00
"119075364RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,,"Y",,"Y","Board member paid organizational expenses",$7313.00
"119075414RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,$11939.00
"119075463RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,,,,,$1176.00
"119075547RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$701048.00
"119075638RR0001",2018-12-31 00:00:00,"23","Y","Y","Y","Y",,,,,,"Y","Y",,,,$260118.00
"119075877RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","CONSTRUCTION SERVICES",$15820.00
"119075901RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,,,$2180.00
"119076354RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,,,$1014.00
"119076602RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,"Y",,,"Y","Gift Certificates,products,etc for silent auction",$6324.00
"119077188RR0002",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$177.00
"119077543RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Potted flowers for altar",$60.00
"119077873RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Sunday fellowship supplies",$432.00
"119078228RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","TOILET PAPER",$50532.00
"119078335RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","WORSHIP SUPPLIES",$1985.00
"119078731RR0001",2018-12-31 00:00:00,"23",,,,,,,,,"Y",,,,"Y","Christmas Tree Wreaths",$1006.00
"119079150RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1684.00
"119080281RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","None",
"119080372RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$13888.00
"119080570RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","RENT",$7200.00
"119080588RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$385.00
"119080786RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1106.00
"119081016RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,,,
"119082626RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Location véhicule",$3688.00
"119084994RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Liability insurance",
"119085983RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Napkins,plates,bread,coffee",$555.00
"119086114RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$70.00
"119086155RR0001",2018-12-31 00:00:00,"23",,,,,"Y",,,,,,,,,,$200.00
"119086338RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$700.00
"119086759RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$6747.00
"119087005RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$101.00
"119087062RR0001",2018-5-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Four, BBQ",$1400.00
"119087096RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","produits de beauté",$1600.00
"119087252RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Entertainment",$550.00
"119087724RR0001",2018-9-30 00:00:00,"23",,,"Y",,,,,,,,,,,,$796.00
"119087807RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","Electronics",$3335.00
"119088078RR0002",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$10016.00
"119088284RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,"Y",,,$991.00
"119088318RR0001",2018-10-31 00:00:00,"23",,"Y",,,"Y",,,,,,,,,,$4704.00
"119088359RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","meeting refreshments",$20.00
"119090686RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","REFUNDABLE RECYCLING",$1957.00
"119090793RR0001",2018-3-31 00:00:00,"23",,,,,,,,"Y",,,"Y",,"Y","Apartment building",$1216658.00
"119091031RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Door Prizes",$17649.00
"119091809RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,,,,,$10603.00
"119091825RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,"Y",,,,$1106756.00
"119091882RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$9537.00
"119091932RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$24829.00
"119091940RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","program materials",$750.00
"119092153RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Memorial Donations",$4904.00
"119092427RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","XPress postage x 2, Stamps, 2 x water tests",$138.00
"119092815RR0001",2018-6-30 00:00:00,"23","Y",,"Y",,,,"Y",,,,"Y","Y",,,$384877.00
"119092906RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$169.00
"119093078RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$415.00
"119093300RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Auction list attached",$1791.00
"119093466RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","ARTIFICIAL CHRISTMAS TREE",$339.00
"119094076RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","door prize",
"119094175RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,
"119094662RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$19842.00
"119095016RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","art installation items",$18000.00
"119095065RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,"Y","Y",,,$34624.00
"119095081RR0002",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","Audit/Piano playing Pulpit supply",$1103.00
"119095099RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","REPAIR SUPPLIES FOR THE STORE",
"119095321RR0001",2018-3-31 00:00:00,"23",,,,,,,,"Y",,,,,,,$1275.00
"119095818RR0001",2018-1-31 00:00:00,"23",,,,,,,"Y",,,,,,,,$1367.00
"119096311RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","flowers/decor",$502.00
"119096493RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Land",$16667.00
"119097475RR0001",2018-12-31 00:00:00,"23",,,,,,,,,"Y",,,,,,$750000.00
"119097483RR0001",2018-7-31 00:00:00,"23",,"Y","Y",,,,,,,,,,"Y","Advertising",$40580.00
"119097624RR0001",2018-3-31 00:00:00,"23",,"Y",,,,,,,,"Y",,,"Y","fish food",$6468.00
"119097814RR0001",2018-3-31 00:00:00,"23","Y",,,,,,,,,,,,,,$62350.00
"119097913RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$2306.00
"119097962RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Miscellaneous",$290.00
"119098408RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y","Y",,,$0.00
"119098416RR0001",2018-7-31 00:00:00,"23",,,,,,,,"Y",,,,,,,
"119103133RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$914.00
"119103190RR0001",2018-10-31 00:00:00,"23",,,,,,,,,,,,,"Y","agricultural company gift certificates",$800.00
"119103323RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,"Y","VEHICLE R&M",$1659.00
"119103430RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,"Y",,"Y","Crafted angels",$18851.00
"119103463RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","PAINTING & SMALL RECEIPTS",$612.00
"119103513RR0001",2018-7-31 00:00:00,"23",,,,,,,,,,,,,,,$1260.00
"119103844RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,,"Y",,,
"119104867RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","Gift Basket",$417.00
"119105005RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,"Y","Y",,"Y","Auto maintenance costs",$73075.00
"119105146RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$345746.00
"119105187RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$15502.00
"119105328RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","biens, fortaits-encan.",$2710.00
"119105435RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$32.00
"119105484RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,"Y",,,,"Y","Airbnb, tickets, etc.",$11475.00
"119106193RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,"Y",,,,,,"Y","Sporting Event Tickets",$3061.00
"119106276RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1380.00
"119106409RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,$4136.00
"119106722RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$1651.00
"119107175RR0001",2018-3-31 00:00:00,"23","Y",,,,,,"Y",,,,,,"Y","Festival of Tree services",$14646.00
"119107308RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,,,$318.00
"119107357RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,"Y","Y","yard mulch",
"119107373RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$544.00
"119107654RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Donations in Kind",$14.00
"119107712RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","gift cards, auction items, toys",$3005.00
"119107753RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,,,"Y","AUCTION GALA IN-KIND",$2300.00
"119108009RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Rent Reduction",$2400.00
"119108058RR0001",2018-8-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","Giftware",$1303.00
"119108157RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,,,,$62.00
"119108256RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","property maintenance",$2395.00
"119108629RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$5964.00
"119108777RR0001",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","sports tickets",$62971.00
"119108942RR0001",2018-8-31 00:00:00,"23",,,"Y",,,,,,,,,"Y",,,$1458.00
"119108983RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y","Y",,,,$15933.00
"119109213RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,,,$747.00
"119109288RR0001",2018-11-30 00:00:00,"23",,,,,,,,,,,"Y",,,,$110444.00
"119109460RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,,"Y",,,,$900.00
"119109510RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,,,,"Y","Office supplies and janitoral materials",$111.00
"119109528RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$300.00
"119109791RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$60720.00
"119109791RR0003",2018-12-31 00:00:00,"23",,"Y","Y",,"Y",,,,,,,,,,$1300.00
"119109791RR0006",2018-12-31 00:00:00,"23",,,,,,,,,,"Y","Y",,,,$5875.00
"119109791RR0007",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$292.00
"119109791RR0010",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Retail Gift Card",$100.00
"119109791RR0016",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y","Landscaping",$5743.00
"119109791RR0017",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$307.00
"119109791RR0019",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Plants, Flowers, Stamps",$556.00
"119109791RR0024",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Floral decorations",$271.00
"119109791RR0027",2018-12-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","TELEVISION",$275.00
"119109791RR0031",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,"Y","Flowers",$11504.00
"119109791RR0033",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","materials for fundraising and socials",$3926.00
"119109791RR0043",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y",,$6500.00
"119109817RR0010",2018-12-31 00:00:00,"23",,,,,,,"Y",,,,"Y",,"Y","2 CEMETERY PLOTS",$495016.00
